APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	K263E_Rep1.PAU	K263E_Rep2.PAU	K263E_Rep3.PAU	WT_Rep1.PAU	WT_Rep2.PAU	WT_Rep3.PAU	K263E_Rep1.TPM	K263E_Rep2.TPM	K263E_Rep3.TPM	WT_Rep1.TPM	WT_Rep2.TPM	WT_Rep3.TPM	Site	TPM_pass_n	Expression_Pass	WT_mean_PAU	K263E_mean_PAU	DeltaPAU	P_value	FDR	APA_direction	Mechanistic_category
ENSG00000004059.13_1_S	ENST00000000233,ENST00001099956	ENSG00000004059.13	ARF5	chr7	127591212	127591705	+	127591680	127591705	25	1	100	100	100	100	100	100	564.773576	583.311319	566.576903	602.919857	532.32128	529.604747	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000004478.10_1_P	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2804813	+	2803258	2804813	1555	3	100	0	87.418	0	58.951	0	0.131538	0	1.074656	0	0.509684	0	P	1	FALSE	19.6503333333333	62.4726666666667	42.8223333333333	NA	NA	NS	NS
ENSG00000004478.10_2_D	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2805410	+	2803258	2805410	2152	3	0	100	12.582	100	41.049	100	0	0.502524	0.154676	0.37427	0.354906	0.860251	D	0	FALSE	80.3496666666667	37.5273333333333	-42.8223333333333	NA	NA	NS	NS
ENSG00000003137.10_1_D	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129237	72132619	-	72129237	72132226	2989	2	0	0	100	0	0	0	0	0	0.904864	0	0	0	D	0	FALSE	0	33.3333333333333	33.3333333333333	NA	NA	NS	NS
ENSG00000003137.10_2_P	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129305	72132619	-	72129305	72132226	2921	2	100	100	0	100	100	100	0.630847	0.618665	0	0.812403	0.891005	1.641381	P	1	FALSE	100	66.6666666666667	-33.3333333333333	NA	NA	NS	NS
ENSG00000003509.18_1_P	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37248435	+	37248350	37248435	85	2	67.555	58.988	60.337	54.577	69.025	78.542	35.272306	22.871141	28.884965	27.455702	30.341571	42.323298	P	6	TRUE	67.3813333333333	62.2933333333333	-5.08799999999999	0.551399683870882	1	NS	NS
ENSG00000003509.18_2_D	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37249160	+	37248350	37249160	810	2	32.445	41.012	39.663	45.423	30.975	21.458	16.940086	15.90153	18.987722	22.850354	13.615785	11.563074	D	6	TRUE	32.6186666666667	37.7066666666667	5.08799999999999	0.551399683870882	1	NS	NS
ENSG00000001036.16_1_S	ENST00000002165,ENST00001043137,ENST00001137529	ENSG00000001036.16	FUCA2	chr6	143495476	143495847	-	143495476	143495706	230	1	100	100	100	100	100	100	41.906191	70.815671	73.071457	56.045811	50.696655	50.394309	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000003249.17_1_S	ENST00000002501,ENST00000930203,ENST00000930202	ENSG00000003249.17	DBNDD1	chr16	90004870	90006534	-	90004870	90006334	1464	1	100	100	100	100	100	100	143.324628	148.86445	137.001377	164.688791	171.581466	163.213987	S	6	TRUE	100	100	0	1	1	NS	NS
ENSG00000002587.12_1_D	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11393149	11400113	-	11393149	11399081	5932	3	11.745	14.954	10.55	18.862	9.136	10.651	0.477684	1.12687	0.643592	1.851083	0.853839	1.241628	D	3	TRUE	12.883	12.4163333333333	-0.466666666666665	0.897165072508635	1	NS	NS
ENSG00000002587.12_2_D	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11394116	11400113	-	11394116	11399081	4965	3	9.098	0	0	0	7.426	0	0.370034	0	0	0	0.694052	0	D	0	FALSE	2.47533333333333	3.03266666666667	0.557333333333334	NA	NA	NS	NS
ENSG00000002587.12_3_P	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11398747	11400113	-	11398747	11399081	334	3	79.157	85.046	89.45	81.138	83.438	89.349	3.219394	6.408604	5.456614	7.962809	7.797886	10.415228	P	6	TRUE	84.6416666666667	84.551	-0.0906666666666638	0.982409240733813	1	NS	NS
ENSG00000001617.14_1_P	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50188210	+	50188115	50188210	95	2	0	46.176	27.146	27.659	33.685	0	0	10.773384	3.889249	6.003695	7.360844	0	P	4	TRUE	20.448	24.4406666666667	3.99266666666667	0.825966422734803	1	NS	NS
ENSG00000001617.14_2_D	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50189075	+	50188115	50189075	960	2	100	53.824	72.854	72.341	66.315	100	12.820125	12.557774	10.437962	15.70227	14.49102	15.752133	D	6	TRUE	79.552	75.5593333333333	-3.99266666666666	0.825966422734804	1	NS	NS
