APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	MATR3_KO1_Rep1.PAU	MATR3_KO1_Rep2.PAU	MATR3_KO5_Rep1.PAU	WT1_Rep1.PAU	WT1_Rep2.PAU	WT1_Rep3.PAU	WT7_Rep1.PAU	WT7_Rep2.PAU	MATR3_KO1_Rep1.TPM	MATR3_KO1_Rep2.TPM	MATR3_KO5_Rep1.TPM	WT1_Rep1.TPM	WT1_Rep2.TPM	WT1_Rep3.TPM	WT7_Rep1.TPM	WT7_Rep2.TPM	TPM_pass_n	Expression_Pass	WT_mean_PAU	MATR3_KO_mean_PAU	DeltaPAU	P_value	FDR	minus_log10_P	Min_Length	Max_Length	APA_Site	Mechanism	Four_Category
ENSG00000004478.10_1_P	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2804813	+	2803258	2804813	1555	3	0	34.448	0	0	0	0	0	50.56	0	2.565197	0	0	0	0	0	4.396286	2	TRUE	10.112	11.4826666666667	1.37066666666667	0.932201496518858	1	0.0304902042039477	700	2152	Intermediate	NS	NS
ENSG00000004478.10_2_D	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2805410	+	2803258	2805410	2152	3	100	65.552	100	100	100	100	100	49.44	7.470393	4.88141	6.21947	8.370485	7.937417	6.971115	6.747343	4.298962	8	TRUE	89.888	88.5173333333333	-1.37066666666666	0.932201496518858	1	0.0304902042039477	700	2152	Distal	NS	NS
ENSG00000003137.10_1_D	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129237	72132619	-	72129237	72132226	2989	2	0	100	100	42.566	100	45.952	35.483	100	0	9.275927	10.320497	3.536183	9.887165	5.559928	3.04421	8.15921	7	TRUE	64.8002	66.6666666666667	1.86646666666667	0.962505814446259	1	0.0165966382617489	2921	2989	Distal	NS	NS
ENSG00000003137.10_2_P	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129305	72132619	-	72129305	72132226	2921	2	100	0	0	57.434	0	54.048	64.517	0	9.927587	0	0	4.771311	0	6.539412	5.535232	0	4	TRUE	35.1998	33.3333333333333	-1.86646666666666	0.96250581444626	1	0.0165966382617488	2921	2989	Proximal	NS	NS
ENSG00000003509.18_1_P	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37248435	+	37248350	37248435	85	2	59.962	63.963	67.941	62.25	68.23	77.368	71.905	76.034	15.726307	22.048003	23.882601	20.007184	28.545225	26.993569	27.736554	31.098792	8	TRUE	71.1574	63.9553333333333	-7.20206666666666	0.0925881978980296	0.887379059110763	1.0334443687654	85	810	Proximal	NS	NS
ENSG00000003509.18_2_D	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37249160	+	37248350	37249160	810	2	40.038	36.037	32.059	37.75	31.77	22.632	28.095	23.966	10.500778	12.42204	11.269233	12.133004	13.29127	7.8962	10.837297	9.802447	8	TRUE	28.8426	36.0446666666667	7.20206666666666	0.0925881978980295	0.887379059110763	1.0334443687654	85	810	Distal	NS	NS
ENSG00000001617.14_1_P	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50188210	+	50188115	50188210	95	2	43.786	33.096	0	0	23.612	46.457	36.487	39.683	2.519776	1.982877	0	0	1.255773	2.831621	1.672691	1.960987	6	TRUE	29.2478	25.6273333333333	-3.62046666666667	0.828293802416628	1	0.0818155881718352	95	960	Proximal	NS	NS
ENSG00000001617.14_2_D	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50189075	+	50188115	50189075	960	2	56.214	66.904	100	100	76.388	53.543	63.513	60.317	3.234939	4.008443	4.741669	3.33449	4.062574	3.263486	2.911693	2.980687	8	TRUE	70.7522	74.3726666666667	3.62046666666666	0.828293802416629	1	0.081815588171835	95	960	Distal	NS	NS
ENSG00000001461.21_2_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476647	+	24469185	24476647	7462	3	6.487	10.738	12.287	14.012	10.517	15.157	21.477	7.04	0.585512	0.998372	1.248149	1.043267	0.797894	1.171818	1.377221	0.548551	4	TRUE	13.6406	9.83733333333333	-3.80326666666667	0.248669740114392	0.9516112637435	0.604377059526596	1019	7462	Distal	NS	NS
ENSG00000001461.21_1_P	ENST00000003912,ENST00001128149	ENSG00000001461.21	NIPAL3	chr1	24468985	24475252	+	24474233	24475252	1019	3	93.513	89.262	87.713	85.988	89.483	84.843	78.523	92.96	8.440948	8.298979	8.910219	6.402237	6.788686	6.559503	5.035279	7.243794	8	TRUE	86.3594	90.1626666666667	3.80326666666667	0.248669740114391	0.9516112637435	0.604377059526597	1019	7462	Proximal	NS	NS
