APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	A4_1.PAU	A4_2.PAU	A4_3.PAU	A4_4.PAU	A5_1.PAU	A5_2.PAU	A5_3.PAU	A5_4.PAU	WT_1.PAU	WT_2.PAU	WT_3.PAU	WT_4.PAU	A4_1.TPM	A4_2.TPM	A4_3.TPM	A4_4.TPM	A5_1.TPM	A5_2.TPM	A5_3.TPM	A5_4.TPM	WT_1.TPM	WT_2.TPM	WT_3.TPM	WT_4.TPM	TPM_pass_n	Expression_Pass	WT_mean_PAU	FUS_KO_mean_PAU	DeltaPAU	P_value	FDR	minus_log10_P	Min_Length	Max_Length	APA_Site	Mechanism	Four_Category
ENSG00000004478.10_1_P	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2804813	+	2803258	2804813	1555	3	51.808	54.73	55.504	23.208	48.826	69.282	0	50.305	54.178	20.342	31.955	54.778	0.480485	0.958043	0.925724	0.436791	0.496783	0.78868	0	0.653985	1.666542	0.629258	0.878847	1.753681	2	TRUE	40.31325	44.207875	3.894625	0.744390709626787	0.98852321707129	0.128199055722623	700	2152	Intermediate	NS	NS
ENSG00000004478.10_2_D	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2805410	+	2803258	2805410	2152	3	48.192	45.27	44.496	76.792	51.174	30.718	100	49.695	45.822	79.658	68.045	45.222	0.446955	0.792434	0.742125	1.445282	0.520677	0.349688	0.543904	0.646054	1.409482	2.464146	1.871442	1.447771	5	TRUE	59.68675	55.792125	-3.894625	0.744390709626787	0.98852321707129	0.128199055722623	700	2152	Distal	NS	NS
ENSG00000003509.18_1_P	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37248435	+	37248350	37248435	85	2	54.243	52.174	53.711	52.392	48.547	43.942	52.108	35.892	65.176	63.337	64.262	59.229	22.837999	24.03385	25.84569	20.079538	15.156392	14.087305	17.775729	9.869586	29.202792	31.235126	26.501219	29.095976	12	TRUE	63.001	49.126125	-13.874875	0.00032720287105908	0.0206174457152802	3.48518289424385	85	810	Proximal	Lengthening	Proximal decreased
ENSG00000003509.18_2_D	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37249160	+	37248350	37249160	810	2	45.757	47.826	46.289	47.608	51.453	56.058	47.892	64.108	34.824	36.663	35.738	40.771	19.264944	22.030745	22.274333	18.246262	16.063832	17.971823	16.337602	17.628472	15.603523	18.080479	14.738335	20.02877	12	TRUE	36.999	50.873875	13.874875	0.00032720287105908	0.0206174457152802	3.48518289424385	85	810	Distal	Lengthening	Distal increased
ENSG00000001617.14_1_P	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50188210	+	50188115	50188210	95	2	0	0	54.221	48.145	60.485	49.779	58.404	64.265	71.153	0	71.712	55.966	0	0	1.887553	2.088388	3.494156	2.515228	2.171245	2.555352	1.19264	0	0.3935	0.538733	7	TRUE	49.70775	41.912375	-7.79537500000001	0.704246708144029	0.967140757228864	0.152275174357417	95	960	Proximal	NS	NS
ENSG00000001617.14_2_D	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50189075	+	50188115	50189075	960	2	100	100	45.779	51.855	39.515	50.221	41.596	35.735	28.847	100	28.288	44.034	1.023635	1.57448	1.593699	2.249359	2.282746	2.53758	1.54637	1.420933	0.483533	0.723441	0.155219	0.423877	8	TRUE	50.29225	58.087625	7.795375	0.70424670814403	0.967140757228864	0.152275174357417	95	960	Distal	NS	NS
ENSG00000001461.21_2_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476647	+	24469185	24476647	7462	3	0	30.706	0	30.878	32.892	0	34.042	19.028	45.758	26.065	18.696	0	0	1.582432	0	1.639089	1.441159	0	1.595316	0.640661	1.799844	1.081188	0.439212	0	6	TRUE	22.62975	18.44325	-4.1865	0.718794759054309	0.972900594887186	0.143395098121343	1019	7550	Intermediate	NS	NS
ENSG00000001461.21_3_D	ENST00000003912	ENSG00000001461.21	NIPAL3	chr1	24468985	24476735	+	24469185	24476735	7550	3	22.287	0	44.349	0	0	37.125	0	0	0	0	0	38.069	1.002001	0	1.891854	0	0	2.107952	0	0	0	0	0	1.050196	4	TRUE	9.51725	12.970125	3.452875	0.77638997325457	1	0.109920081975496	1019	7550	Distal	NS	NS
ENSG00000001461.21_1_P	ENST00000003912,ENST00001128149	ENSG00000001461.21	NIPAL3	chr1	24468985	24475252	+	24474233	24475252	1019	3	77.713	69.294	55.651	69.122	67.108	62.875	65.958	80.972	54.242	73.935	81.304	61.931	3.493948	3.571079	2.373968	3.669267	2.940327	3.570081	3.091063	2.726257	2.133515	3.066921	1.910041	1.708473	12	TRUE	67.853	68.586625	0.733625000000004	0.917298653093139	1	0.0374892441841581	1019	7550	Proximal	NS	NS
ENSG00000003989.20_1_P	ENST00000004531,ENST00001125770	ENSG00000003989.20	SLC7A2	chr8	17564949	17570518	+	17565146	17570518	5372	2	100	100	100	100	100	100	100	100	100	100	100	100	15.932789	13.586856	13.038907	14.29347	21.051574	17.287971	18.24492	19.441957	11.598015	11.337757	8.375223	10.898108	12	TRUE	100	100	0	1	1	0	5372	5372	Intermediate	NS	NS
