APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	P525L_Rep1.PAU	P525L_Rep2.PAU	P525L_Rep3.PAU	WT_Rep1.PAU	WT_Rep2.PAU	WT_Rep3.PAU	P525L_Rep1.TPM	P525L_Rep2.TPM	P525L_Rep3.TPM	WT_Rep1.TPM	WT_Rep2.TPM	WT_Rep3.TPM	TPM_pass_n	Expression_Pass	WT_mean_PAU	FUS_P525L_mean_PAU	DeltaPAU	P_value	FDR	minus_log10_P	Min_Length	Max_Length	APA_Site	Mechanism	Four_Category
ENSG00000003137.10_1_D	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129237	72132619	-	72129237	72132226	2989	2	100	100	100	100	100	100	19.559947	12.900807	35.909479	16.003995	9.437542	33.730127	6	TRUE	100	100	0	1	1	0	2989	2989	Intermediate	NS	NS
ENSG00000003509.18_1_P	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37248435	+	37248350	37248435	85	2	80.341	78.961	86.146	71.925	75.024	81.732	17.414793	20.879311	29.897269	17.382743	16.264939	33.845881	6	TRUE	76.227	81.816	5.589	0.204070963392524	1	0.690218785266815	85	810	Proximal	NS	NS
ENSG00000003509.18_2_D	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37249160	+	37248350	37249160	810	2	19.659	21.039	13.854	28.075	24.976	18.268	4.261188	5.56316	4.808204	6.785052	5.414687	7.564692	6	TRUE	23.773	18.184	-5.589	0.204070963392524	1	0.690218785266815	85	810	Distal	NS	NS
ENSG00000002587.12_3_P	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11398747	11400113	-	11398747	11399081	334	3	94.996	93.364	87.727	79.355	88.503	78.131	2.684953	3.19831	5.154503	1.782708	2.136339	5.030445	6	TRUE	81.9963333333333	92.029	10.0326666666667	0.072483284974277	1	1.13976213246876	334	334	Intermediate	NS	NS
ENSG00000001617.14_1_P	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50188210	+	50188115	50188210	95	2	0	35.426	32.306	44.09	21.535	27.644	0	3.850294	2.352601	4.216628	3.675991	3.091365	5	TRUE	31.0896666666667	22.5773333333333	-8.51233333333333	0.56089409867002	1	0.251119129305029	95	960	Proximal	NS	NS
ENSG00000001617.14_2_D	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50189075	+	50188115	50189075	960	2	100	64.574	67.694	55.91	78.465	72.356	2.541234	7.018123	4.929605	5.346967	13.393924	8.091312	6	TRUE	68.9103333333333	77.4226666666667	8.51233333333334	0.56089409867002	1	0.251119129305029	95	960	Distal	NS	NS
ENSG00000003989.20_1_P	ENST00000004531,ENST00001125770	ENSG00000003989.20	SLC7A2	chr8	17564949	17570518	+	17565146	17570518	5372	2	100	100	100	0	100	100	1.475136	0.568049	1.527196	0	0.219472	0.666757	2	TRUE	66.6666666666667	100	33.3333333333333	0.422649730810374	1	0.37401940329452	5372	5372	Intermediate	NS	NS
ENSG00000005175.12_1_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47661248	47663590	-	47661248	47663504	2256	4	26.679	33.265	34.687	30.097	34.085	32.36	17.79939	16.180116	23.738371	20.161589	20.619045	23.905658	6	TRUE	32.1806666666667	31.5436666666667	-0.637	0.83093350932256	1	0.0804337267449127	218	2256	Distal	NS	NS
ENSG00000005175.12_3_D	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47662245	47663590	-	47662245	47663504	1259	4	32.625	52.554	65.313	49.982	30.669	50.682	21.766096	25.562409	44.697377	33.482663	18.552619	37.441027	6	TRUE	43.7776666666667	50.164	6.38633333333333	0.613337739618036	1	0.212300311680358	218	2256	Intermediate	NS	NS
ENSG00000005175.12_4_P	ENST00000005386	ENSG00000005175.12	RPAP3	chr12	47663286	47663590	-	47663286	47663504	218	4	40.696	14.182	0	19.921	35.247	16.958	27.150553	6.897995	0	13.345069	21.322036	12.527295	5	TRUE	24.042	18.2926666666667	-5.74933333333333	0.694024629938976	1	0.158625116783214	218	2256	Proximal	NS	NS
