APA_ID	Transcript	Gene	Gene_Name	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	Num_Events	Cont_S1.PAU	Cont_S2.PAU	Cont_S3.PAU	Cont_S4.PAU	TDP43_S5.PAU	TDP43_S6.PAU	TDP43_S7.PAU	Cont_S1.TPM	Cont_S2.TPM	Cont_S3.TPM	Cont_S4.TPM	TDP43_S5.TPM	TDP43_S6.TPM	TDP43_S7.TPM	Site	Control_mean_PAU	KO_mean_PAU	DeltaPAU	P_value	FDR	APA_direction	Mechanistic_category
ENSG00000004059.13_1_S	ENST00000000233,ENST00001099956	ENSG00000004059.13	ARF5	chr7	127591212	127591705	+	127591680	127591705	25	1	100	100	100	100	100	100	100	526.48236	489.592578	522.4466	502.084076	520.392076	480.325998	480.344771	S	100	100	0	1	1	NS	NS
ENSG00000004478.10_1_P	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2804813	+	2803258	2804813	1555	3	0	0	0	0	0	39.958	0	0	0	0	0	0	0.352416	0	P	0	13.3193333333333	13.3193333333333	0.422649730810374	1	NS	NS
ENSG00000004478.10_2_D	ENST00000001008	ENSG00000004478.10	FKBP4	chr12	2803150	2805410	+	2803258	2805410	2152	3	100	100	100	100	100	60.042	100	0.543227	0.566234	1.088342	0.774502	0.230082	0.529558	0.815581	D	100	86.6806666666667	-13.3193333333333	0.422649730810374	1	NS	NS
ENSG00000003137.10_1_D	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129237	72132619	-	72129237	72132226	2989	2	0	100	0	0	0	0	0	0	0.343647	0	0	0	0	0	D	25	0	-25	0.391002218955771	1	NS	NS
ENSG00000003137.10_2_P	ENST00000001146	ENSG00000003137.10	CYP26B1	chr2	72129305	72132619	-	72129305	72132226	2921	2	100	0	100	100	100	100	100	0.166842	0	0.329999	0.222914	0.303901	0.524183	0.287865	P	75	100	25	0.391002218955771	1	NS	NS
ENSG00000003509.18_1_P	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37248435	+	37248350	37248435	85	2	70.947	65.354	67.618	75.444	66.107	73.485	73.557	28.1154	25.094403	23.532909	37.644503	26.252918	30.133554	29.082235	P	69.84075	71.0496666666667	1.20891666666667	0.730924241746643	1	NS	NS
ENSG00000003509.18_2_D	ENST00000002125,ENST00000934435	ENSG00000003509.18	NDUFAF7	chr2	37248134	37249160	+	37248350	37249160	810	2	29.053	34.646	32.382	24.556	33.893	26.515	26.443	11.513145	13.303391	11.269972	12.252469	13.459568	10.87292	10.455021	D	30.15925	28.9503333333333	-1.20891666666667	0.730924241746643	1	NS	NS
ENSG00000001036.16_1_S	ENST00000002165,ENST00001043137,ENST00001137529	ENSG00000001036.16	FUCA2	chr6	143495476	143495847	-	143495476	143495706	230	1	100	100	100	100	100	100	100	13.649048	19.25159	15.785489	14.410874	19.039941	20.80742	22.06381	S	100	100	0	1	1	NS	NS
ENSG00000003249.17_1_S	ENST00000002501,ENST00000930203,ENST00000930202	ENSG00000003249.17	DBNDD1	chr16	90004870	90006534	-	90004870	90006334	1464	1	100	100	100	100	100	100	100	131.034218	119.840843	139.491535	118.844169	113.474404	117.174993	117.569526	S	100	100	0	1	1	NS	NS
ENSG00000002587.12_1_D	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11393149	11400113	-	11393149	11399081	5932	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	1	1	NS	NS
ENSG00000002587.12_2_D	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11394116	11400113	-	11394116	11399081	4965	3	1.734	3.058	6.717	19.177	8.138	5.587	9.203	0.009448	0.021162	0.056081	0.084841	0.059083	0.036477	0.040869	D	7.6715	7.64266666666667	-0.0288333333333339	0.994803550512742	1	NS	NS
ENSG00000002587.12_3_P	ENST00000002596	ENSG00000002587.12	HS3ST1	chr4	11398747	11400113	-	11398747	11399081	334	3	98.266	96.942	93.283	80.823	91.862	94.413	90.797	0.535459	0.670909	0.77882	0.357568	0.66694	0.616359	0.403224	P	92.3285	92.3573333333333	0.0288333333333384	0.994803550512741	1	NS	NS
ENSG00000001617.14_1_P	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50188210	+	50188115	50188210	95	2	46.555	43.384	45.799	40.22	48.116	38.874	40.489	11.217642	9.21959	11.719344	8.440726	15.45588	10.243393	10.145896	P	43.9895	42.493	-1.4965	0.670676084593122	1	NS	NS
ENSG00000001617.14_2_D	ENST00000002829	ENSG00000001617.14	SEMA3F	chr3	50187704	50189075	+	50188115	50189075	960	2	53.445	56.616	54.201	59.78	51.884	61.126	59.511	12.877768	12.031738	13.869463	12.545827	16.666233	16.106866	14.9127	D	56.0105	57.507	1.4965	0.670676084593122	1	NS	NS
ENSG00000001626.20_1_S	ENST00000003084	ENSG00000001626.20	CFTR	chr7	117666907	117668665	+	117667108	117668665	1557	1	NA	NA	NA	100	100	100	NA	0	0	0	0.032788	0.097208	0.062102	0	S	100	100	0	NA	NA	NS	NS
